"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected"
149017,Land,"Address:
      
        41 Fieldcrest Way
              
        Locality:
    
                     30132 GA
            United States","41 Fieldcrest Way",,Dallas,30132,GA,Available,,,"56,999",499,"55,999","1,499","54,999",3999.00,,,,,8712,,,✔,Paulding,Fieldcrest,2023-07-21
140029,Commercial,"Address:
      
        6458 E Spring St. Bldg. B
              
        Locality:
    
                     30134 GA
            United States","6458 E Spring St. Bldg. B",,Douglasville,30134,GA,"Sale Pending","Vincent Bohne","Tuesday, August 29, 2023","595,000","35,000","593,000","45,000","590,000",65000.00,,,,"9,045",31798,,,✔,Douglas,,2023-03-21
140030,"Land, Commercial","Address:
      
        3340 HWY 92 AKA Fairburn Rd.
              
        Locality:
    
                     30135 GA
            United States","3340 HWY 92 AKA Fairburn Rd.",,Douglasville,30135,GA,Available,,,"234,900","11,999","229,900","13,999",,,1499,,,,96703,,,✔,Douglas,,2023-06-01
149014,Land,"Address:
      
        7667 Hwy 101 N
              
        Locality:
    
                     30153 GA
            United States","7667 Hwy 101 N",,Rockmart,30153,GA,Available,,,"124,999","2,999","123,999","4,500","122,999",5999.00,,,,,223898,,,✔,Paulding,"Rural West",
149019,Land,"Address:
      
        373 Farm Brook Ln
              
        Locality:
    
                     30157 GA
            United States","373 Farm Brook Ln",,Dallas,30157,GA,Available,,,"29,999",499,"28,999","1,499","27,999",2999.00,,,,,20038,,,✔,Paulding,"Jones Mill",2023-07-21
149020,Land,"Address:
      
        507 St Charles Ave
              
        Locality:
    
                     30157 GA
            United States","507 St Charles Ave",,Dallas,30157,GA,Available,,,"36,999",699,"35,999","1,699","34,999",3500.00,,,,,7405,,,✔,Paulding,"Bartlett Square",2023-07-21
,"Land, Commercial","Address:
      
        3015 Veterans Memorial Hwy
              
        Locality:
    
                     30168 GA
            United States","3015 Veterans Memorial Hwy",,Austell,30168,GA,Available,,,"208,500","20,000","204,900","23,000",,,1199,,,,23008,,,✔,Cobb,,2023-06-07
133041,Residential,"Address:
      
        7386 BATTLECREEK LN
              
        Locality:
    
                     30236 GA
            United States","7386 BATTLECREEK LN",,Jonesborogh,30236,GA,Sold,,"Monday, August 07, 2023","214,999","17,999","213,500","19,999","212,500",22999.00,,4,2+,"1,714",,1.00,2013,✔,Clayton,"Battlecreek Commons",
133011,Land,"Address:
      
        9225 Woodhill Ln
              
        Locality:
    
                     30238 GA
            United States","9225 Woodhill Ln",,Jonesboro,30238,GA,Available,,,"56,999","2,999","55,999","3,999","54,999",5999.00,,,,"1,364",,,,✔,Clayton,,2023-04-25
140016,"Land, Commercial","Address:
      
        797 Flint River Rd
              
        Locality:
    
                     30238 GA
            United States","797 Flint River Rd",,Jonesboro,30238,GA,Available,,,"189,999","7,999","188,999","9,999","187,999",12999.00,1295,,,,22477,,,✔,Clayton,,2023-07-17
149007,Residential,"Address:
      
        211 Cobb St.
              
        Locality:
    
                     30268 GA
            United States","211 Cobb St.",,Palmetto,30268,GA,Sold,"Cynthia Garcia","Tuesday, July 25, 2023","139,900","5,900","137,900","7,900","135,900",9900.00,,,,,89167,,1920,✔,Fulton,,2023-03-23
149006,Land,"Address:
      
        1847 Flippen Rd
              
        Locality:
    
                     30281 GA
            United States","1847 Flippen Rd",,Stockbridge,30281,GA,Available,,,"322,900","15,000","317,500","20,000",,,,,,,,,,✔,Henry,,2023-04-25
149010,Land,"Address:
      
        0 Roosevelt Hwy & Camp Dr
              
        Locality:
    
                     30291 GA
            United States","0 Roosevelt Hwy & Camp Dr",,"Union City",30291,GA,Available,,,"197,900","8,999","194,500","9,999","191,500",10999.00,,,,,17424,,,✔,Fulton,,
140035,Land,"Address:
      
        4122 Hershel Rd.
              
        Locality:
    
                     30337 GA
            United States","4122 Hershel Rd.",,"College Park",30337,GA,Available,,,"3,422,000","342,000",,,,,,,,,940896,,,✔,Fulton,,2023-08-18
145008,Land,"Address:
      
        0 J MOUNTAIN DR
                  Lot 6
              
        Locality:
    
                     30533 GA
            United States","0 J MOUNTAIN DR","Lot 6",Dahlonega,30533,GA,Available,,"Friday, October 02, 2020","33,999","1,999",,,,,,,,"40,510",,,,✔,Lumpkin,"Ivy Terrace",2023-03-30
145008,Land,"Address:
      
        J Mountain Dr. Lot 7
              
        Locality:
    
                     30533 GA
            United States","J Mountain Dr. Lot 7",,Dahlonega,30533,GA,Available,,,"99,999","4,699","97,999","6,799",,,,,,,238708,,,✔,Lumpkin,"Ivy Terrace",
,Land,"Address:
      
        513 Bradford
              
        Locality:
    
                     30601 GA
            United States","513 Bradford",,Athens,30601,GA,Available,"Martha L Cortes","Thursday, March 31, 2022","226,999","12,500",,,,,,,,,,,,✔,Clarke,,2022-12-15
,Land,"Address:
      
        548 Bradford
              
        Locality:
    
                     30601 GA
            United States","548 Bradford",,Athens,30601,GA,Sold,,,,,,,,,,,,,,,,✔,Clarke,,2022-12-15
,Land,"Address:
      
        504 Bradford
              
        Locality:
    
                     30601 GA
            United States","504 Bradford",,Athens,30601,GA,Available,,"Thursday, March 31, 2022","134,999","7,500",,,,,,,,,,,,✔,Clarke,,2022-12-15
,Land,"Address:
      
        520 Burkland
              
        Locality:
    
                     30601 GA
            United States","520 Burkland",,Athens,30601,GA,Available,,,"75,999","4,500",,,,,,,,,,,,✔,Clarke,,2022-12-15
153010,Land,"Address:
      
        2811 S JOE WRIGHT DR
                  Lot 29
              
        Locality:
    
                     31015 GA
            United States","2811 S JOE WRIGHT DR","Lot 29",Cordele,31015,GA,Available,"Antone Means",,"23,999",799,,,,,,,,"10,395",,,,✔,Crisp,"Southpoint Estates",2023-05-18
153003,Land,"Address:
      
        2716 S 10TH St
                  Lot 13
              
        Locality:
    
                     31015 GA
            United States","2716 S 10TH St","Lot 13",Cordele,31015,GA,"Sale Pending","Cynthia Garcia","Friday, January 27, 2023","25,999",799,,,,,,,,"12,300",,,,✔,Crisp,"Southpoint Estates",2023-05-18
